11 000 53 000 WA WASHINGTON                             267        355       17785
11 000 39 000 OH OHIO                                   212        277       10337
11 000 08 000 CO COLORADO                               205        282       16059
11 000 09 000 CT CONNECTICUT                            176        216       11641
11 000 26 000 MI MICHIGAN                               171        210        8072
11 000 45 000 SC SOUTH CAROLINA                         157        251        7780
11 000 47 000 TN TENNESSEE                              137        193        7916
11 000 41 000 OR OREGON                                 124        150        7339
11 000 04 000 AZ ARIZONA                                117        154        6911
11 000 27 000 MN MINNESOTA                              115        151        6912
11 000 22 000 LA LOUISIANA                              113        140        7203
11 000 29 000 MO MISSOURI                               112        148        6246
11 000 55 000 WI WISCONSIN                               93        114        4585
11 000 18 000 IN INDIANA                                 85        121        4078
11 000 54 000 WV WEST VIRGINIA                           76        109        5279
11 000 10 000 DE DELAWARE                                72        103        5785
11 000 35 000 NM NEW MEXICO                              61         82        4551
11 000 01 000 AL ALABAMA                                 59         90        3677
11 000 32 000 NV NEVADA                                  58         72        2554
11 000 15 000 HI HAWAII                                  53         82        2971
11 000 49 000 UT UTAH                                    50         62        3050
11 000 33 000 NH NEW HAMPSHIRE                           49         66        3611
11 000 21 000 KY KENTUCKY                                48         69        2208
11 000 20 000 KS KANSAS                                  46         80        2420
11 000 44 000 RI RHODE ISLAND                            44         54        2619
11 000 23 000 ME MAINE                                   40         57        2669
11 000 50 000 VT VERMONT                                 36         52        2106
11 000 05 000 AR ARKANSAS                                35         55        1484
11 000 19 000 IA IOWA                                    29         39        1630
11 000 31 000 NE NEBRASKA                                29         48        1624
11 000 40 000 OK OKLAHOMA                                26         36         954
11 000 28 000 MS MISSISSIPPI                             25         34        4167
11 000 30 000 MT MONTANA                                 23         31        1212
11 000 02 000 AK ALASKA                                  22         30        1478
11 000 16 000 ID IDAHO                                   15         18         903
11 000 56 000 WY WYOMING                                 12         14         412
11 000 46 000 SD SOUTH DAKOTA                            11         14         365
11 000 38 000 ND NORTH DAKOTA                             3          5         124
12 000 96 000 FL FL Total Mig - US & For             232060     425359     9211598
12 000 97 000 FL FL Total Mig - US                   223193     410065     8916740
12 000 98 000 FL FL Total Mig - Foreign                8867      15294      294858
12 000 12 000 FL FL Non-Migrants                    6890522   13857569   359999851
12 000 13 000 GA GEORGIA                              21474      42324      845823
12 000 36 000 NY NEW YORK                             19909      33345      663987
12 000 48 000 TX TEXAS                                17318      35455      730009
12 000 37 000 NC NORTH CAROLINA                       14123      27125      568126
12 000 06 000 CA CALIFORNIA                           11803      19974      552277
12 000 51 000 VA VIRGINIA                              9818      18342      466975
12 000 57 000 FR Foreign                               8867      15294      294858
12 000 47 000 TN TENNESSEE                             8775      17084      353250
12 000 42 000 PA PENNSYLVANIA                          8376      14581      312791
12 000 39 000 OH OHIO                                  7526      13463      269027
